245;0
238;0
239;1
247;6
246;3
245;0
245;0
245;0
262;0
262;3
269;4
262;0
262;0
233;0
233;5
234;10
226;7
217;1
204;1
210;7
195;6
197;3
199;2
193;2
193;4
186;7
187;3
180;4
180;5
179;7
177;5
177;4
163;7
149;11
136;16
123;22
110;28
97;35
84;42
72;50
62;61
53;74
45;86
37;99
29;112
22;126
16;140
11;154
8;169
7;182
7;177
9;165
13;154
18;144
21;135
24;131
21;145
20;155
24;170
32;171
29;167
22;158
29;162
35;169
36;176
45;181
54;174
53;168
53;162
57;151
51;146
53;140
57;135
60;130
59;127
61;124
66;120
62;117
58;114
63;112
65;106
65;104
66;101
69;97
82;95
90;98
93;100
99;103
111;100
115;96
127;85
136;77
148;69
158;65
158;65
162;63
171;60
180;60
182;58
196;61
202;61
209;64
214;68
212;60
207;53
207;51
211;52
214;54
214;52
215;51
216;54
218;56
222;59
229;63
225;57
220;52
230;56
238;62
237;49
240;48
243;62
244;63
247;62
248;61
246;58
245;55
244;48
242;43
245;46
249;43
250;36
252;40
254;41
254;37
255;33
252;22
250;19
254;19
257;22
259;21
260;23
263;34
266;42
267;45
269;39
269;32
271;34
273;32
274;25
274;23
277;26
280;21
279;15
283;19
287;24
292;25
302;31
304;27
305;20
307;25
310;23
311;23
313;24
315;24
319;25
320;23
322;26
327;31
330;30
333;31
337;32
346;32
349;30
351;29
355;34
360;37
364;39
368;43
374;46
378;48
378;54
379;57
379;60
375;59
367;60
358;64
354;65
358;68
361;71
366;71
368;73
373;78
384;87
395;97
405;107
415;118
426;128
426;130
430;131
433;127
431;126
435;124
442;122
436;121
431;119
439;116
444;113
442;111
439;109
439;108
440;106
441;100
441;95
441;91
438;90
425;88
422;85
426;81
423;79
424;77
432;77
432;80
435;80
439;79
438;80
438;82
443;83
437;74
434;71
425;67
414;71
412;72
409;71
410;67
420;64
430;64
420;57
410;51
400;44
388;36
375;30
362;24
349;19
336;14
332;13
332;12
323;9
313;5
303;3
301;4
299;3
300;2
295;1
296;4
284;5
270;9
267;10
262;8
257;9
247;10
238;5
233;0
233;0
233;0
233;0
224;0
220;1
220;1
224;0
224;0
343;18
344;18
347;20
345;25
342;25
341;20
343;18
343;18
281;35
280;38
282;39
284;37
282;35
281;35
281;35
303;39
302;41
303;42
303;39
303;39
303;39
327;44
325;46
324;52
324;55
327;44
327;44
257;45
256;45
255;55
259;51
258;45
257;45
257;45
282;46
282;49
282;51
282;47
282;46
282;46
282;46
297;48
297;48
295;58
297;62
297;48
297;48
201;49
202;51
203;55
201;53
200;49
201;49
201;49
303;55
302;62
302;66
304;59
303;55
303;55
315;56
315;56
311;66
307;75
311;75
316;64
315;56
315;56
446;77
447;80
453;85
451;84
446;77
446;77
455;88
457;92
458;93
455;88
455;88
79;99
76;101
80;103
78;109
81;111
90;111
106;111
98;106
89;103
84;101
79;99
79;99
471;107
470;108
474;116
481;125
482;128
477;117
471;107
471;107
93;113
79;117
88;118
97;115
93;113
93;113
84;120
80;122
85;122
84;120
84;120
91;123
87;124
80;126
75;127
83;128
92;126
93;123
92;123
91;123
91;123
485;133
487;143
490;153
492;165
494;179
501;191
502;193
503;193
500;181
493;167
490;151
488;142
485;133
485;133
431;134
430;135
432;136
433;135
